ID,Description,Category_English
531,"نعمل على نظام لحجوزات الفنادق PMS مبني على Odoo، ونواجه بعض التحديات الفنية في وحدات معينة مثل الحسابات، التسعير، والربط مع صلاحيات المستخدمين. نبحث عن مطور Odoo محترف لديه خبرة في حل مشكلات النظام، بالإضافة إلى القدرة على تطوير وتحسين بعض الوحدات الموجودة.
المطلوب:
مراجعة المشكلات الحالية الموجودة على موديول لوحة التحكم والغرف
إصلاح الأعطال المرتبطة بقوائم الأسعار
إمكانية شرح الحلول بشكل مبسط للفريق الداخلي
الرجاء التقديم فقط إذا كان لديك خبرة مثبتة في Odoo (خصوصًا النسخ 14 وأعلى)، مع أمثلة على مشاريع سابقة أو مهارات مشابهة.
ملاحظة: الميزانية على / الساعة من 10-50 دولار حسب الخبرة في المجال.",Web Development
532,"اريد اعادة تصميم هذه الصفحة فقط بشكل محترف :
https://ostathy.net/oaasl...
الموقع بشكل عام تم تصميمه على Wordpress",Web Development
533,"السلام عليكم لدي تطبيق مكون من 10 صفحات على الاكثر ارغب في تصميم صفحات للمستخدم
منهما صفحتين ويب
تحياتي",Web Development
534,"لدي مشروع برنامج تم بناءه ب لارافيل
واريد تسريع وتيرة العمل لدى الفريق
وهذه متطلبات العمل
- Deep understanding of Laravel and Laravel 12
- Experience with Livewire 3 and Filament 3 or React and Inertiajs required
- Experience writing custom components for Filament 3 with focus optimization for complex database queries and data processing is a plus
- Experience using Tailwind, preferably Tailwind 3
- Experience writing reports for event-sourced data and aggregating data optimally
- Experience with database design and event-sourcing is a plus
- Experience with realtime data updates, Laravel Reverb, and websockets is a plus
- Git and CI/CD knowledge is mandatory, preferrably using Jenkins
- Experience collaborating using Git and fork/pull-request workflow",Web Development
535,"احتاج الى مستقل يشارك في اعداد ملف لعبة محاكاة simulation game مخصصة لطلبة المدارس
المطلوب :
- المشاركة في تطوير الفكرة الأساسية
- المشاركة في تصميم أنظمة المحاكاة
- المشاركة في تصميم المهام والتحديات
- مراجعة نماذج المحاكاة",Game Development
536,أرغب بتوفير نظام حجز مواعيد عن طريق الواتس للزبائن ويكون نظام سهل وقراءة المواعيد سهلة عن طريق Google sheet ولا يكون هناك مواعيد مكررة ولا أعلم كم الميزانية المطلوبة أو الوقت وسنتفق أرجو أن لا يتواصل إلا من لديه مشاريع سابقة وخبرة كافية,Software Engineering
537,"تعديلات على موقع مخصص لرفع الملفات التعديلات عبارة عن
- إمكانية تعديل ملف word docs اونلاين .
- إمكانية فلترة البيانات بناء على وايضا حفظها بناء عليها : اسم الموكل الخصم/اطراف اخرى الموضوع الرئيسي نقاط جوهرية   السنة    الرقم
- إمكانية تخصيص بعض المجلدات بشكل خاص حيث انه يمنع حذف او تعديل فيها حسب الصلاحية ,
- إمكانية نقل الملف الى مجلد اخر حسب الصلاحية .",Web Development
538,"لدي مشروع laravel
واحتاج شخص فاهم في react + inertia أو livewire
لتصميم الواجهات في المشروع
والربط في ال backend من قبلي",Web Development
539,"أرغب في إنشاء موقع إلكتروني احترافي يعتمد على واجهات مستخدم جذابة وسلسة. يتضمن المشروع تصميم وتطوير الموقع من الصفر مع لوحة تحكم لإدارة المحتوى بسهولة.
سيتم تزويد المستقل بالتصاميم والهوية البصرية لاستخدامها أثناء عملية التطوير.
الموقع يجب أن يكون متجاوبًا مع مختلف الشاشات ويُراعي تحسين تجربة المستخدم.
يفضل وجود خبرة في التكامل مع قواعد البيانات وربط النماذج التفاعلية.",Web Development
540,"السلام عليكم ورحمة الله وبركاتة
محتاج
المرحلة الثانية للزكاة و الدخل بلغة VB.NET
لدي برنامج فواتير ... واحتاج سورس كود المرحلة الثانية",Software Engineering
541,"? عنوان المشروع:
تطوير لعبة جوال جماعية تفاعلية ""حرف وسؤال"".
وصف المشروع:
لعبة جماعية تفاعلية حيث يشترك اللاعبون في لعبها من على جوال واحد.
اللعبة تعتمد على اختيار الحروف والإجابة على أسئلة عشوائية يولّدها الذكاء الاصطناعي (AI)، بحيث تكون الإجابة تبدأ بنفس الحرف الذي تم اختياره من قبل الفريق.
️ آلية اللعبة:
يتم اختيار عدد الفرق في بداية اللعبة، مع تسمية كل فريق من قبل المستخدم.
الواجهة الرئيسية تحتوي على شبكة من 20 حرفًا من الحروف الأبجدية العربية (مثل: أ، ب، ت، ث...)، تظهر بشكل خلية تفاعلية.
بعد اختيار الحرف، يتم توليد سؤال عشوائي باستخدام الذكاء الاصطناعي على أن يكون جوابه يبدأ بالحرف المحدد.
يتم عرض الإجابة بعد ذلك.
ويقوم المستخدم بتحديد أي فريق أجاب بشكل صحيح، أو اختيار ""لم يجب أحد"".
عند اختيار فريق لحرف معيّن، يتم تعطيل الحرف في الواجهة ولا يمكن استخدامه مرة أخرى.
لا يوجد وقت محدد للإجابة، ولكن يتم عرض مؤقّت بسيط يظهر الوقت المنقضي منذ عرض السؤال.
لكل إجابة صحيحة، يحصل الفريق على نقطة واحدة.
تستمر اللعبة حتى تنتهي جميع الحروف المختارة.
في النهاية، يتم عرض مجموع النقاط وتحديد الفريق الفائز.
يجب أن تكون واجهة جذابة وسهلة الاستخدام على الهواتف.
نظام الدفع:
لكل جلسة لعبة جديدة، يتم دفع 10 ريال قطري عبر بوابة دفع إلكترونية .
بيئة التشغيل المطلوبة:
التطبيق مخصص للعمل على أجهزة الجوال (Android و/أو iOS).",Mobile Development
542,"إنشاء لوحة تحكم تكون مشابهه تمامًا للوحة تحكم موجودة وهي الخاصة ب بوت البروبوت, الرابط: ""https://probot.io/"";; ويدعم Mobile Responsive",Software Engineering
543,"مرحبا المطلوب أكثر من لعبة HTML5
الألعاب المطلوبة هي ألعاب تفاعلية بسيطة للأطفال (على سبيل المثال شاهد الصورة المرفقة)
عدد الألعاب المطلوبة من ١٠ ألعاب الى ٢٠ لعبة
يتم تسليم الألعاب على صيغة ملفات
HTML5
JAVA
CSS
الميزانية للعبة الواحدة هي 30 دولار فقط",Web Development
544,"عبارة عن :
1- غرف صوتية + كل غرفة يكون فيها ٥ مايكات صوتية ويكون فيه تارقت او لفل للغرفة اذا وصله المستخدم يمكنه فتح خاصية ال ١٠ مايكات + شات كتابي بنفس الروم ويكون في هدايا يهدون بعض عن طريق شرائهم لكوينز من نفس تطبيق ، مثال الهدية تكون سيارة للشخص الاخر تطلع بشات وانميشن محترف
2 -ويكون لكل غرفة هدايا وقطع ذهبية يهدونها لبعض gift
3- دفع عن طريق ,الأيتونز + البطاقة الائتمانية .
4-يكون سريع بدخول الى غرفة الروم بدون اي تعليق
5- يكون سريع بدخول الى المايك بسرعة قويه، وعدم تعليق
6- تطبيقات مشابه يوهو شات)",Mobile Development
545,"وصف المشروع:
نرغب بتوظيف مبرمج محترف لتطوير نظام يدوي يقدم إشعارات لحظية مبنية على تحليل بيانات متعددة المصادر. النظام يعتمد على تقنيات الذكاء الصناعي والتحليل الإحصائي باستخدام أكثر من 20 أداة تحليلية، مع دمج مصادر بيانات خارجية لتحديد الفرص المناسبة ضمن فترات زمنية قصيرة (من دقيقة إلى 15 دقيقة).
يشترط أن يكون النظام سهل الاستخدام من خلال واجهة رسومية بسيطة، ويعرض النتائج بشكل مباشر دون أي تنفيذ آلي. يجب أن يكون قابل للتخصيص ويتكامل مع أدوات خارجية لتحديث البيانات بشكل لحظي.
المتطلبات:
خبرة قوية في بايثون أو أي لغة مناسبة لتحليل البيانات
القدرة على بناء واجهات استخدام رسومية بسيطة
تجربة سابقة في مشاريع تعتمد على مؤشرات وتحليلات لحظية
تكامل API مع أدوات خارجية
الالتزام بالجودة والمواعيد
بيئة العمل:
مرحب بالمستقلين أو الشركات.",Data Science
546,"لدي مشروع laravel
واحتاج شخص فاهم في react + inertia أو livewire
لتصميم الواجهات في المشروع
والربط في ال backend من قبلي",Web Development
547,"احتاج شخص فرونت اند محترف
والعمل يكون على لارافل وبيكون كمنتدى لعرض تقارير وحيكون فيها تحديثات
مطلوب فقط موقع ولوحة تحكم
حيكون فيه ui جاهز",Web Development
548,"مطلوب مستقل لتنفيذ مشروع .
نظرة عامة على المشروع
مشروع إدارة المشاريع والمهام هو تطبيق ويب يهدف إلى مساعدة الفرق والشركات على تنظيم وإدارة مشاريعهم ومهامهم بفعالية. يتيح التطبيق للمستخدمين إنشاء مشاريع، تعيين المهام للأعضاء، تتبع التقدم، وإعداد التقارير. يتميز التطبيق بمرونته وسهولة استخدامه، مما يجعله مناسبًا للفرق الصغيرة والمتوسطة والكبيرة.
الهيكل العام للمشروع
الواجهة الخلفية (Backend): يتم بناؤها باستخدام إطار العمل Django وDjango REST Framework لإنشاء API قوية ومرنة.
الواجهة الأمامية (Frontend): يتم بناؤها باستخدام React.js لتوفير واجهة مستخدم حديثة وتفاعلية.
الربط بين الواجهتين: يتم عبر API RESTful التي توفر البيانات اللازمة للواجهة الأمامية باستخدام JSON.
المكونات الرئيسية للواجهة الخلفية (Backend)
Django Models:
User Model: نموذج المستخدم الذي يمتد من AbstractUser لدعم تسجيل الدخول والتخصيص.
Project Model: يمثل المشاريع
Task Model: يمثل المهام
Teams Module: ويمثل الفريق وادوار الفريق.
Ticket Model: ويمثل تذاكر العملاء
Appointment Model: حجز المواعيد",Web Development
549,"يوجد صور توضيحية للموقع
1-تشغيل قسم الحسابات ليكون الكتروني تماما سواءا للشقق او العمولات
2-إضافة ميزة على الداتا سيرش هي تقديم طلب لادخال شقة على السيستم
ويكون هناك فورم بسيط يتضمن (رقم المالك او الوسيط / عنوان الوحدة ونوعها المدينة المنطقة الشارع رقم العمارة الخ/هل هناك صور لو يوجد صور يظهر خانة لاضافة الصور /السعر )
ملاحظة يتم تسجيل الشقة على انها تم الادخال بواسطة هذا الموظف لحساب العمولة والنسبة على الادخال بعد قبول الطلب بواسطة الداتا انتري
3-إضافة ميزة للداتا انتري تتضمن استعراض طلبات الشقق المدخلة بواسطة الداتا سيرش ويمكن استعراض كافة التفاصيل ليتم التواصل مع الرقم لتاكيد المعلومات وقبول او رفض ادخال الشقة وفي حالة القبول يظهر الفورم الأساسي الخاص بإدخال الوحدات لتكملة المعلومات وحفظها على السيستم وفي حال تم القبول والحفظ تنزل على السيستم ويتم احتساب شقة ادخال للداتا سيرش لاحتساب العمولة والنسبة وفي حال الرفض يظهر فورم يطلب سبب الرفض و يتم ارجاع الطلب الى الداتا سيرش مع اظهار اشعار برفض الادخال مع ذكر السبب الخاص بالرفض ويطلب منه تعديل الطلب او الغاءه
ملاحظة يمكن للداتا انتري ادخال شقة بالطريقة القديمة ويتم احتساب انه تم الادخال بواسطة الداتا انتري ويحتسب لها عمولة
4- نظام مراقبة أداء الموظفين كلن بوظيفته
ويتضمن واجهة يمكن لكل موظف ان يرى اداءه خلال الشهر او الأشهر الماضية
-السيلز يرى كم عدد المعاينات التي قام بعملها وكم عدد الصفقات التي قام بعملها
مع إمكانية عرض الاكواد التي حصل عليها معاينات
وحصاب ملخص العمولات مع استعراض تفاصيلها
-داتا انتري كم عدد الشقق المدخلة خلال كل شهر سواءا ايجار او تمليك وكم ملخص العمولات مع استعراض تفاصيلها
-داتا سيرش عدد طلبات الشقق المقبولة وعدد طلبات الشقق المعدلة وعدد طلبات الشقق المرفوضة والملغاه خلال الشهر مع حساب العمولات
-كول سنتر كم عدد طلبات المعاينة التي انتهت بعقد وكم عدد الصفقات التي انتهت بدون عقد والنسبة والعمولات
5-إضافة طلب استفسار عن طريق السيلز يمكن كتابة الاستفسار وتقديم الطلب عن طريق السيستم ويظهر للكول سنتر مع رقم المالك ويمكن الرد بالكتابة برد المالك ويظهر للسيلز اشعار بالرد مع توضيح الرد
6-كتابة العقد يوجد مشكلة على السيستم
7-إضافة قسم لمتابعة أداء الموظفين للمدير
8- إضافة وظيفة نائب مدير ومحاسب
9-لوحة إدارة نظام احتساب العمولات لكل وظيفة يعدل من قبل المدير
10- جعل لكل سيلز عدد معين من الوحدات لايمكن الاطلاع عليها الا من قبله او من قبل السيلز الذي لديه صلاحية الوصول الى كل الوحدات وتعين من قبل المدير او نائب المدير و يمكن تحديده بالمنطقة او المدينة او عشوائيا او يدويا يمكن نقل حقوق تسويق شقة لاي سيلز ويمكن فتح جميع الوحدات أيضا كما في كان قبل التعديل
11-جعل لكل سيلز ادخال اربع طلبات ادخال شقق في الشهر يمكن فرض هذا الشيء او الغاءه
12- نظام متابعة العملاء
ويشمل طريقتين للادخال
-نظام الادخال الأول (نظام ادخال عام) يتم انشاء قائمة لمتابعة العملاء عن طريق ادخال عدة ارقام او رقم واحد لعملاء محتملين ويتم إدخالها بواسطة وظيفة جديدة تسما كوستمر سيرش وبعد اضافتها توزع تلقائيا على موظفين السليز لكنابعة العميل وتحديث حالته ويتم ارفاق صورة لكل تحديث حالة
-نظام الادخال الثاني ( نظام الادخال الخاص )يكون عبارة عن ادخال رقم كل عميل تواصل مع الشركة ويتم إدخالها عن طريق السيلز ولا توزع تلقائيا على الموظفين بل تكون تابعة للموظف الذي ادخلها ولايمكن لاحد ان يتطلع عليها كل عميل مع طلبه وتحديث حالته بمعنى (تم تحديد موعد معاينة على شقة كود / تم التواصل مع العميل / تم عرض اكثر من خيار/ لم يرد العميل/ العميل غير مهتم مع كتابة السبب/ العميل مهتم بالطلب المذكور (( ويمكن إضافة تحديث حالة يدويا بواسطة الموظف )
11-برمجة قائمة جديدة تتظمن مشاركة الوحدات عن طريق وضع طلب معين لعميل وليس لدى السيلز شقة مناسبة ضمن الشقق الخاصة فيه والهدف منها مشاركة الداتا بين المسوقين وتقسيم العمولة بينهم وعن وجود هذا الطلب عند احد المسوقين يمكن قبول الطلب الكترونياة وإدخال كود الشقة المطلوبة وسيتم عرضها الكترونيا بواسطة السيستم عللى صفحة الششق الخاصة بالسيلز الذي قدم الطلب ويتم احتساب العمولة بينه وبين السيلز الذي قبل الطلب وارسل الوحدة ويمكن للسيز الذي قدم الطلب الغاء الوحدة من القائمة الخاصة بيه او تلغى تلقائيا بعد أسبوع من قبول الطلب
12- برمجة قائمة للشقق المطلوبة ويتم عن طريقها إضافة طلب معين لعميل محتمل وادخاله مع كافة التفاصيل وتظهر هذه القائمة للداتا سيرش ليبحث عن هذا الطلب المعين
13- تعديل في قائمة العملاء لكتابة التفاصيل التالية (نوع الوحدة (ايجار او تمليك )/رنج السعر المطلوب /الجنسية/ عائلة ام افراد/هل تم كتابة عقد للشقة او لاء /
14-إضافة تقرير للمعاينة بعد انتهاء المعاينة وهو عبارة عن فورم يتم تعديله من قبل المدير او نائبه وبعرض بعد تحويل حالة المعاينة الى تم التنفيذ او تم الإلغاء
15-إضافة ميزة في قائمة المعاينات يمكن إضافة كود وحدة جدي\ة اذا حدثت معاينة لنفس العميل على اكثر من شقة
16-إضافة خانة في قائمة ادخال الشقق وهي العنوان التقريبي ويشمل علامة مميزة او شارع معين وتظهر للسيلز
17- إضافة نوع معاينة جديد يمكن للسيلز طلبه وهو المعاينة التعريفية بالشقة ويحق لاي سيلز ان يقوم بعمل معاينة على أي شقة خاصة به ليتعرف عليها على الواقع
قسم خدمات الطلاب
تشغيل القسم ليضغط على زر التالي
يكون هناك خانة لتنزيل مستندات الطالب (اكثر من مستند) مع إمكانية عرضها وتنزيلها بي دي اف على الكمبيوتر
تعديل في الحسابات عندما حسب تحديث الحالة في حين انه اذا تم تحديث الحالة الى تم دفع الدفعة الولى يتم السؤال من السيستم هل تم عن طريق الإيداع البنكي او التحويل اذا كان إيداع بنكي يطلب صورة الايصال واذا كان تحويل يتم عرض صورة جواز او بطاقة للتحويل عليها وبعد اكمال عملية التحويل يرفق الايصال ويتم تعدي صور الجواز او البطاقة من قبل المدير
-إضافة ميزة تنبيه تلقائي على خانة العميل عندما يتاخر تحديث الحالة والتنبيه اذا تأخر القبول
تعديل الوظيفة القديمة لتسويق خدمات الطلاب واضافة وظيفة جديدة اسمها ستيودنت سيرش ويتم إضافة ميزة إضافة ارقام الطلاب وتحول هذه الأرقام لقائمة بتطلع عليه موظف خدمات الطلاب وتوزع عليهم بالتساوي يمكن تحديث حالتهم الى تم التفاق ويحول الطالب اللى قائمة خدمات الطلاب الأساسية لاستكمال الإجراءات
إضافة قسم تسويق خدمات طلابية وهو عبارة عن مجموعة بوستات وصور تكون معدة مسبقة على السيستم للخدمات الطلابية مع اجورها مع الفيديوهات التوضيحية مع كافة المعلومات والاستفسارات ليتم عرضها من قبل مسوق خدمات الطلاب ويمكن حجز أي خدمة لاي طالب عن طريق تحديث الحالة ونقلها الى القائمة الرئيسية
19-اضافة قسم للشكاوي والمقترحات لتطوير السيستم
عمل فورم شكاوي ومقترحات يتم كتابة الشكوى مع رقم الهاتف مع ارفاق صور للمكة او الاقتراح ان وجد ويتم الاطلاع عليه بواسطة مهنة المبرمج او المطور ويمكن التصال مع الشخص لتعديل الخطأ او عمل المقترح
يوجد صور من الموقع",Web Development
550,"1- برمجه ERP لشركة تصميم ومقاولات
2-جميع الافكار تم تصميمها على برنامج Adobe XD
3- الاقسام التالية:
Admin_login
Accountant_login
Stuff_login
Contractor_login
Clint_login
4- موقع الكتروني",Web Development
551,بناء متجر شوبيفاي اكسسوارات,Web Development
552,"مطلوب عمل مشروع متكامل على الويب والهاتف المحمول بأنواعها مشروع مشابة جدا إلى هذه التطبيقات
https://www.instacart.com... https://instashop.com/ar-... مع تطبيق التوصيل
على المتقدم أن يكون له خبرة لا تقل عن 10 سنوات في هذا المجال",Web Development
553,"عنوان المشروع:
تطبيق إدارة حضور ومكافآت الموظفين (iOS + Android)
⸻
تفاصيل المشروع:
أبحث عن مطوّر محترف لتنفيذ تطبيق مخصص للموظفين يعمل على الجوال (iOS و Android) بالإضافة إلى لوحة تحكم للمدير على الويب.
وظائف التطبيق المطلوبة:
1.تسجيل دخول الموظف.
2.زر تحضير/انصراف يظهر حسب الوقت.
3.شريط جانبي فيه:
•المكافآت المتوفرة
•عدد الطلبات المنجزة
•سجل الغياب والإجازات
4.رفع مكافأة عند الإنجاز:
•رفع صورة + رقم عميل
•تصل للمدير للمراجعة والموافقة
5.تقديم عذر أو طلب إجازة
•مع إمكانية رفع ملف مرفق
6.نظام إشعارات فورية
•تنبيه الموظف عند إضافة طلب جديد مرتبط فيه
7.لوحة تحكم المدير:
•عرض تقرير شهري بالحضور والانصراف
•مراجعة الطلبات والمكافآت
•قبول/رفض الأعذار والمكافآت
المطلوب:
•تصميم واجهات التطبيق بشكل عصري وسهل الاستخدام
•تطوير التطبيق (iOS و Android)
•تطوير لوحة تحكم للمدير (ويب)
•استخدام قاعدة بيانات مناسبة (Firebase أو غيرها)
•تسليم الكود كامل ورفع التطبيق على المتاجر
يفضل:
•وجود أعمال سابقة مشابهة
•الالتزام بالوقت
•دعم فني بعد التسليم لمدة قصيرة
بانتظار عروضكم مع توضيح السعر والمدة وأمثلة لأعمال سابقة",Web Development
554,"تطبيق عقاري يتيح للعميل الايجار والشراء عن طريقه
وايضاً التعاون مع عدة بنوك محلية لدعم العملاء بالقروض العقارية
وايضاً التعاون مع المكاتب الهندسية لتصميم البناء
والتعاون مع مؤسسات بناء
ايضاً رسائل للمهتمين من العملاء بالعروض الجديدة التي تناسبهم
حسب اشتراكه ( مجاني )
المشروع يوجد منافسين في السوق ولكن فكرته توسعية وشامله
بحيث ان العميل عن طريق التطبيق ( يستطيع الشراء والبناء والتصميم ) وايضاً الشراء عن طريق البنك بواسطة التطبيق",Mobile Development
555,حل مشكلة اختراقات تحصل في منصة تعليمية,Cyber Security
556,"أبحث عن مطور لتطوير تطبيق موبايل/ويب. لدي الآن تصميم واجهة المستخدم وتجربة المستخدم (UI/UX) كامل على Figma. فكرة التطبيق مشابهة لمنصة حراج ولكن بمفهوم مختلف ومنتجات وميزات مميزة. من ضمن الميزات المطلوبة: الطلبات من المستخدمين، وقاعدة بيانات لأجزاء قابلة للبحث، وغيرها. يجب تطوير التطبيق على نظامي iOS وAndroid. كما أحتاج إلى لوحة تحكم إدارية (Dashboard) عبر الويب لإدارة المستخدمين والمحتوى والبيانات. أبحث عن شخص يمكنه تولي تطوير الواجهة الأمامية والخلفية وإكمال المشروع بالكامل
I’m looking to hire a developer to build a mobile/web application. I already have the full UI/UX design ready in Figma. The app concept is similar to Haraj, but with different products, features, and a unique approach. It will include features like user requests, a searchable parts database, and more. The app needs to be developed for both iOS and Android platforms. I also need a web-based admin dashboard to manage users, content, and data. I’m looking for someone who can handle both the frontend and backend development to bring this project to life.",Web Development
557,"أرغب بتطوير تطبيق احترافي متعدد المنصات (Android وiOS) باستخدام Flutter تحت اسم “مستشار الأسهم”، وهو تطبيق مصمم لمساعدة المستثمرين والمضاربين في سوق الأسهم على اتخاذ قرارات أفضل، خصوصًا المبتدئين الذين لا يملكون خبرة كافية ويتعرضون لخسائر بسبب ضعف التحليل أو عدم فهمهم للإشارات الفنية.
هدف التطبيق:
•تقديم أدوات ذكية ومبسطة لمتابعة حركة الأسهم وتحليلها.
•تثقيف المستخدمين حول أنماط الشموع اليابانية.
•توفير بيئة تفاعلية للنقاش وتبادل الخبرات بين المتداولين.
⸻
الخصائص الأساسية للتطبيق:
2.دائرة السيولة كل سهم تظهر السيوله الداخله والخارجه:
•واجهة رئيسية تحتوي على دائرة تفاعلية تُظهر السيولة الداخلة (باللون الأخضر) والسيولة الخارجة (باللون الأحمر).
•تعطي تصورًا سريعًا لحركة السيولة في السوق.
3.دردشة فورية جماعية (تشات عام):
•مساحة للنقاش اللحظي بين أعضاء التطبيق حول الأسهم والتحليلات.
•تسهيل تبادل الآراء بين المتداولين.
4.دردشة خاصة (رسائل خاصة):
•إمكانية إرسال رسائل خاصة بين الأعضاء لتبادل النصائح أو الحديث الخاص.
5.تنبيهات وإشعارات:
•تنبيهات لحظية عن إشارات فنية مهمة أو تغييرات في السيولة.
•إمكانية تخصيص التنبيهات حسب تفضيلات المستخدم.
6.واجهة استخدام سهلة وبسيطة:
•تصميم سهل الاستخدام، جذاب وحديث، مناسب لجميع الأعمار.
•يدعم الوضع الليلي والنهاري.
7.متعدد اللغات (مبدئيًا باللغة العربية، مع إمكانية دعم الإنجليزية لاحقًا)",Mobile Development
558,"المتمكن فقط يتواصل معايا (حتى ما يضيع الوقت) المشروع مستعجل
محتاج مبرمج محترف ومتمكن من أوبن كارت وفاهم كويس في سلة
لنقل متجر كبير من اوبن كارت لسلة بكامل التفاصيل من خيارات وتكاليف وأسعار وإلخ
ربما يحتاج الأمر لإدخال بعض المعلومات بشكل يدوي
أيضا تصميم واجهة جديدة مع قالب جديد للمتجر على سلة",Software Engineering
559,مشكله في الموقع http2 اريد حل ليها موقع,Web Development
560,"أريد الحصول على سورس كود برنامج محاسبي يعمل على الويب
مميزات النظام انه نظام محاسبة ومستودعات مثل الأنظمة المتوفرة في السوق ( مايكرو تيك )
1. واجهات سهلة وبسيط.
2. البرنامج يعمل على قاعدة بيانات قوية.
3. البرنامج يجمع بين المحاسبة والإدارة معاً.
4. نظام مالي واداري متكامل.
5. إدارة الفروع والمشاريع والمخازن.
6. إدارة جميع الحسابات المالية.
7. إدارة الصلاحيات بصورة متقدمة.
8. إدارة المندوبين ونقاط البيع.
9. ادارة العملاء والموردين.
10. نظام الباركود وتواريخ الصلاحية للأصناف.
11. نظام التصنيع وخطوط الإنتاج.
12. القيود المحاسبية – سندات القبض والصرف – فواتير البيع والشراء – الارساليات المخزنية والصادرة والارساليات الواردة – عروض الأسعار – نظام الجرد – المناقلة بين المخازن.
13. يدعم نظام الفواتير الالكترونية للعملاء
14. نظام الاقساط.
15. يدعم التقارير المالية والحسابات الختامية والقوائم المالية.
16. تعدد السنوات المالية والربط بينهم
17- يتعامل مع كافة النشاطات التجارية والخدمية والتعلمية والصحية .
18 - يدعم اضافة الأصول و أهلاك الأصول و اضافة الأصول المهلكة
19- يدعم نقاط البيع مع الفوترة الضريبية
20 - امكانية تعديل قيمة الضريبة المضافة في أي اوقت مع عدم التعديل على الفترات السابقة",Web Development
561,"السلام عليكم
مطلوب منصة تسويق واتس اب
هذه بعض النماذج
https://letsbot.net/ar/ho...
https://whatsbot.me/
https://4whats.net/
بنفس المواصفات :
- رسائل جماعية
- توثيق مع ميتا
- حملات تسويقية
- خدمة عملاء متكامل
- الربط مع المتاجر المعروفة سلة وزد وورد بريس .. الخ
- اضافة صفحات طلبات مع ربطها ببوابة الدفع
- اضافة لوحة تحكم خارجية للمستخدمين وكيل دردشة
- متجر خدمات
نأمل من لديه الخبرات والتفرغ التقدم لان المشروع قد يحتاج إلى التواجد والربط بعد الانتهاء",Web Development
562,"السلام عليكم
نحن
نقوم ببناء موقع تعليمي باستخدام next.js
واجهتنا مشكلة في بناء صفحة عرض الكورس و مستعرض الفديوهات ان فديوهات hls التي نقوم بوضعها من موقع publitio لا تعمل
عندنا بعض الوظائف الهامة التي يجب توافرها لانتهاء التاسك بالكامل
1-يتم عرض الفديوهات من خلال api
2-عند انتهاء الفديو يتم النقل على الفديو التالي بشكل اوتوماتيكي
3-عند الوصول الى 80 في المية من الفديو بيعلم على الفديو انه تمت المشاهدة
4-يتم حفظ سرعة الفديو و الجوزدة بحيث لو تم الانتقال الي فديو اخر يفتح بنفس السرعة و الجودة المختارة من قبل
5-شكل البلاير نفسه يكون بالون البرتقالي
كل الوظائف دي يمكن تحقيقها من خلال مكتبة video.js
و احنا بالفعل عاملين كل دا في صفحة html and css and pure javascript
المشكلة ان لما بنقوم بتحويل الكلام دا الى next.js الفديوهات مش بتشتغل بتفضل تحمل و مش بتدي نتيجة
حدود مسؤليات المستقل
انا هرفع لك الصفحة الي شغالة الي معمولة بشكل pure javascript
و المستقل هيعمل الاتي
1-تحويلها الى next.js بنفس الوظائف الي هي شغاله بيها بالظبط
2-دمج التعديلة في المشروع الاصلي الخاص بالمنصة التعليمية
3-انا باكد على تشغيل البلاير بفديوهات ببليديو عشان لو المستقل شغلها باي فديوهات تانية فبكدة التاسك لم تتم
و هسيب لك لينكات في الرسائل الخاصة عند التواصل بشكل استرشادي عشان نتاكد ان كل حاجة تمام
في حالة الاستجابة من المستقل و التعامل الاحترافي سوف نتعامل معه في مشاريع و تاسكات اخرى",Web Development
563,"تصميم موقع الكتروني اجتماعي غير ربحي
للتواصل الاجتماعي
يتيح التسجيل للاعضاء ونشر بيانات التواصل مع امكانية التواصل داخل الموقع
مع خاصية التوثيق للحساب عبر هاتف محمول",Web Development
564,"مرحبًا،
أبحث عن مطوّر Flutter محترف لديه خبرة في تعديل سكربتات جاهزة وربطها بلوحة Laravel.
اشتريت سكربت جاهز من CodeCanyon لتطبيق حجز صالونات (Beauty Salon Booking App) وأحتاج التالي:
المهام المطلوبة:
تركيب السكربت كامل على السيرفر وتجهيزه للعمل.
تعديل الهوية البصرية (الشعار، الألوان، الخطوط) لتتناسب مع العلامة التجارية الخاصة بي.
إعداد التطبيق ليعمل باللغتين (العربية – إنجليزية) مع دعم RTL بشكل كامل.
التأكد من ربط التطبيق باللوحة الخلفية (Laravel Admin Panel) وتعديل الحقول المطلوبة.
تجهيز التطبيق للرفع على App Store و Google Play ومساعدتي في عملية النشر.
تفعيل إشعارات الحجز (Push Notifications).
تعديل بعض الشاشات البسيطة مثل: شاشة تسجيل، عرض الصالونات، شاشة خدمة، شاشة الحجز.
إضافة QR Code ثابت يظهر للعملاء داخل التطبيق.
التأكد من الأداء الجيد وتجربة مستخدم سهلة وسلسة.
شروط مهمة:
يفضّل أن يكون سبق له التعامل مع سكربتات مشابهة.
القدرة على العمل بسرعة واحترافية.
الالتزام بالوقت (مدة التنفيذ المتوقعة: من 3 إلى 5 أسابيع كحد أقصى).
يرجى إرسال:
أعمال سابقة مشابهة (روابط أو صور).
السعر النهائي المتوقع.
الوقت الذي تحتاجه لتنفيذ المطلوب.
الميزانية المتوقعة: تُحدد بناءً على عرضك وجودة أعمالك",Web Development
